AoA,c_l_cvae,c_d_cvae,c_l_over_c_d_cvae,c_l_bird_0.0,c_d_bird_0.0,c_l_over_c_d_bird_0.0,c_l_bird_0.2,c_d_bird_0.2,c_l_over_c_d_bird_0.2,c_l_bird_0.4,c_d_bird_0.4,c_l_over_c_d_bird_0.4,c_l_bird_0.6,c_d_bird_0.6,c_l_over_c_d_bird_0.6,c_l_bird_0.8,c_d_bird_0.8,c_l_over_c_d_bird_0.8,c_l_bird_1.0,c_d_bird_1.0,c_l_over_c_d_bird_1.0
25.0,0.39821786174904966,0.6533678268585679,0.6094849568331292,0.06305834305195215,0.8746411895553424,0.07209624221334728,0.18572824424418305,0.7627957836504663,0.2434835747981648,0.308398145436414,0.65095037774559,0.4737659827535192,0.43106804662864484,0.5391049718407138,0.7995994641949064,0.5537379478208758,0.42725956593583775,1.2960223526137074,0.6764078490131067,0.3154141600309616,2.144506920509559
26.0,0.40987571670408585,0.6953983979617068,0.589411361753894,0.06433205542613021,0.9081191646304927,0.07084098423614535,0.1953779866853853,0.7966860709626443,0.2452383615158578,0.3264239179446404,0.6852529772947962,0.4763553443186466,0.45746984920389544,0.5738198836269476,0.7972359659486917,0.5885157804631506,0.46238678995909926,1.2727781010249193,0.7195617117224057,0.350953696291251,2.0503038415792965
27.0,0.4199302659986411,0.73796290575488,0.5690398023042694,0.06554048067426946,0.9413755545527573,0.06962203379649837,0.20503296988986863,0.8308543254860083,0.24677366850071408,0.34452545910546784,0.7203330964192594,0.4782863106222483,0.4840179483210669,0.6098118673525107,0.7937168399533183,0.6235104375366661,0.49929063828576165,1.2487925663445127,0.7630029267522653,0.38876940921901276,1.9626105055051504
28.0,0.4290577776581087,0.7820392442245196,0.5486397016860298,0.06668203940104635,0.9743985995280073,0.06843404684011935,0.2146642010275698,0.8652934845312734,0.24808253484521808,0.3626463626540932,0.7561883695345396,0.47957146296406905,0.5106285242806167,0.6470832545378058,0.7891233789465699,0.6586106859071402,0.5379781395410719,1.2242331751044295,0.8065928475336636,0.42887302454433807,1.8807264653463318
29.0,0.4384227957062347,0.8260383821941466,0.5307535402188983,0.06775522607033595,1.0071765773514303,0.06727244019962388,0.2242425282395414,0.8999950569297626,0.2491597331706698,0.38072983040874686,0.7928135365080947,0.4802261980612128,0.5372171325779522,0.685632016086427,0.7835356575738341,0.6937044347471576,0.5784504956647594,1.1992459855185147,0.8501917369163631,0.4712689752430914,1.8040477552714234
30.0,0.4463363660823171,0.870207541338894,0.5129079499766087,0.06875861292267943,1.0396978043329124,0.06613326741302114,0.23373872168525778,0.9349491144073411,0.2500015434887314,0.3987188304478361,0.8302004244817697,0.48026816018159185,0.5636989392104146,0.7254517345561984,0.7770316236892899,0.7286790479729929,0.6207030446306272,1.1739575861217515,0.8936591567355714,0.515954354705056,1.7320508075688776
31.0,0.4528220209582173,0.9152364866252478,0.4947595813491967,0.06969085267065803,1.0719506389338174,0.0650131173390352,0.24312355399257346,0.9701442891982119,0.2506055611516365,0.4165562553144889,0.8683379394626065,0.479716751259637,0.5899889566364043,0.7665315897270012,0.7696864219862455,0.7634216579583197,0.6647252399913959,1.1484770128003585,0.936854359280235,0.5629188902557903,1.6642794823505183
32.0,0.4591266345533827,0.9600987751129979,0.4782077078468788,0.07055068057854641,1.1039234866012795,0.06390903122802047,0.25236788040656516,1.005567776713502,0.25097053251982604,0.43418508023458385,0.9072120668257246,0.47859270848740904,0.6160022800626026,0.8088563569379471,0.7615719092504584,0.7978194798906213,0.7105006470501696,1.122897611990895,0.9796366797186401,0.612144937162392,1.6003345290410504
33.0,0.4642882260294904,1.0060044703421962,0.4615170605271376,0.07133691621173716,1.135604805123221,0.06281843462611679,0.2614427186613583,1.0412053427329055,0.2510962131399903,0.4515485211109795,0.9468058803425908,0.4769177404639606,0.6416543235606005,0.8524064179522758,0.7527563261454997,0.8317601260102218,0.7580069555619608,1.0972988043277028,1.0218659284598426,0.6636074931716459,1.539864963814583
34.0,0.4687822359581801,1.0513429500542972,0.4458889803122469,0.07204846498506308,1.1669831102097656,0.061739081186969656,0.2703193284674244,1.0770413348799368,0.2509832442944804,0.4685901919497857,0.9870995595501083,0.47471421440341405,0.666861055432147,0.8971577842202796,0.7433040956242902,0.8651319189145084,0.807216008890451,1.0717477222777891,1.0634027823968697,0.7172742335606224,1.48256096851274
